Date;Price
18/12/2020;4 412,56
21/12/2020;4 395,79
22/12/2020;4 414,84
23/12/2020;4 407,63
24/12/2020;4 415,03
28/12/2020;4 424,14
29/12/2020;4 427,72
30/12/2020;4 423,34
31/12/2020;4 451,91
04/01/2021;4 417,77
05/01/2021;4 447,29
06/01/2021;4 432,18
07/01/2021;4 503,31
08/01/2021;4 553,71
11/01/2021;4 553,58
12/01/2021;4 550,12
13/01/2021;4 561,93
14/01/2021;4 561,56
15/01/2021;4 542,86
19/01/2021;4 577,63
20/01/2021;4 651,34
21/01/2021;4 651,46
22/01/2021;4 636,75
25/01/2021;4 681,17
26/01/2021;4 649,96
27/01/2021;4 582,43
28/01/2021;4 577,73
29/01/2021;4 485,77
01/02/2021;4 590,68
02/02/2021;4 664,50
03/02/2021;4 679,40
04/02/2021;4 713,29
05/02/2021;4 718,49
08/02/2021;4 746,24
09/02/2021;4 735,29
10/02/2021;4 728,10
11/02/2021;4 751,27
12/02/2021;4 777,20
16/02/2021;4 777,22
17/02/2021;4 786,12
18/02/2021;4 743,74
19/02/2021;4 718,56
22/02/2021;4 639,81
23/02/2021;4 616,46
24/02/2021;4 632,52
25/02/2021;4 519,35
26/02/2021;4 501,13
01/03/2021;4 632,73
02/03/2021;4 590,94
03/03/2021;4 525,05
04/03/2021;4 452,44
05/03/2021;4 534,66
08/03/2021;4 495,50
09/03/2021;4 575,02
10/03/2021;4 580,66
11/03/2021;4 637,63
12/03/2021;4 626,83
15/03/2021;4 661,10
16/03/2021;4 685,47
17/03/2021;4 677,28
18/03/2021;4 612,44
19/03/2021;4 613,28
22/03/2021;4 641,03
23/03/2021;4 631,15
24/03/2021;4 597,47
25/03/2021;4 620,56
26/03/2021;4 689,79
29/03/2021;4 698,67
30/03/2021;4 698,89
31/03/2021;4 719,77
01/04/2021;4 781,79
05/04/2021;4 822,12
06/04/2021;4 814,45
07/04/2021;4 785,22
08/04/2021;4 826,13
09/04/2021;4 850,66
12/04/2021;4 830,77
13/04/2021;4 851,29
14/04/2021;4 819,82
15/04/2021;4 873,77
16/04/2021;4 887,23
19/04/2021;4 849,83
20/04/2021;4 806,21
21/04/2021;4 842,84
22/04/2021;4 835,48
23/04/2021;4 867,16
26/04/2021;4 867,61
27/04/2021;4 857,26
28/04/2021;4 844,01
29/04/2021;4 841,84
30/04/2021;4 825,27
03/05/2021;4 814,03
04/05/2021;4 777,34
05/05/2021;4 790,70
06/05/2021;4 787,85
07/05/2021;4 796,83
10/05/2021;4 738,45
11/05/2021;4 690,41
12/05/2021;4 630,58
13/05/2021;4 642,04
14/05/2021;4 693,84
17/05/2021;4 680,21
18/05/2021;4 653,21
19/05/2021;4 636,80
20/05/2021;4 697,36
21/05/2021;4 700,92
24/05/2021;4 728,81
25/05/2021;4 735,15
26/05/2021;4 755,36
27/05/2021;4 754,44
28/05/2021;4 777,10
01/06/2021;4 761,44
02/06/2021;4 775,13
03/06/2021;4 773,08
04/06/2021;4 808,88
07/06/2021;4 810,72
08/06/2021;4 811,26
09/06/2021;4 810,11
10/06/2021;4 850,10
11/06/2021;4 885,68
14/06/2021;4 903,62
15/06/2021;4 891,16
16/06/2021;4 875,11
17/06/2021;4 953,30
18/06/2021;4 945,40
21/06/2021;4 954,68
22/06/2021;4 989,55
23/06/2021;4 974,53
24/06/2021;5 011,50
25/06/2021;5 022,09
28/06/2021;5 053,29
29/06/2021;5 071,39
30/06/2021;5 075,40
01/07/2021;5 080,57
02/07/2021;5 119,82
06/07/2021;5 123,84
07/07/2021;5 151,44
08/07/2021;5 076,87
09/07/2021;5 111,89
12/07/2021;5 132,58
13/07/2021;5 155,43
14/07/2021;5 162,84
15/07/2021;5 141,59
16/07/2021;5 118,30
19/07/2021;5 057,07
20/07/2021;5 120,92
21/07/2021;5 148,14
22/07/2021;5 176,32
23/07/2021;5 232,95
26/07/2021;5 195,01
27/07/2021;5 144,52
28/07/2021;5 171,80
29/07/2021;5 177,43
30/07/2021;5 173,93
02/08/2021;5 181,91
03/08/2021;5 213,13
04/08/2021;5 224,85
05/08/2021;5 247,42
06/08/2021;5 256,74
09/08/2021;5 263,18
10/08/2021;5 269,35
11/08/2021;5 260,97
12/08/2021;5 279,07
13/08/2021;5 266,46
16/08/2021;5 263,72
17/08/2021;5 258,57
18/08/2021;5 226,66
19/08/2021;5 225,85
20/08/2021;5 256,07
23/08/2021;5 290,13
24/08/2021;5 304,98
25/08/2021;5 312,19
26/08/2021;5 282,66
27/08/2021;5 303,38
30/08/2021;5 339,02
31/08/2021;5 332,61
01/09/2021;5 331,68
02/09/2021;5 336,83
03/09/2021;5 343,76
07/09/2021;5 357,90
08/09/2021;5 347,78
09/09/2021;5 318,65
10/09/2021;5 294,84
13/09/2021;5 292,45
14/09/2021;5 283,78
15/09/2021;5 298,53
16/09/2021;5 312,17
17/09/2021;5 283,26
20/09/2021;5 207,34
21/09/2021;5 218,03
22/09/2021;5 246,56
23/09/2021;5 287,41
24/09/2021;5 289,26
27/09/2021;5 254,25
28/09/2021;5 141,80
29/09/2021;5 148,31
30/09/2021;5 135,28
01/10/2021;5 149,85
04/10/2021;5 062,43
05/10/2021;5 109,74
06/10/2021;5 135,51
07/10/2021;5 194,43
08/10/2021;5 177,17
11/10/2021;5 160,72
12/10/2021;5 155,15
13/10/2021;5 182,10
14/10/2021;5 256,31
15/10/2021;5 294,59
18/10/2021;5 315,52
19/10/2021;5 340,49
20/10/2021;5 347,16
21/10/2021;5 364,07
22/10/2021;5 351,71
25/10/2021;5 387,60
26/10/2021;5 409,86
27/10/2021;5 392,32
28/10/2021;5 402,87
29/10/2021;5 456,29
01/11/2021;5 467,07
02/11/2021;5 486,07
03/11/2021;5 514,01
04/11/2021;5 578,22
05/11/2021;5 571,86
08/11/2021;5 565,91
09/11/2021;5 559,09
10/11/2021;5 537,81
11/11/2021;5 570,42
12/11/2021;5 633,35
15/11/2021;5 647,67
16/11/2021;5 711,30
17/11/2021;5 719,39
18/11/2021;5 714,67
19/11/2021;5 742,22
22/11/2021;5 719,32
23/11/2021;5 678,67
24/11/2021;5 717,48
26/11/2021;5 557,28
29/11/2021;5 638,02
30/11/2021;5 562,49
01/12/2021;5 491,43
02/12/2021;5 529,15
03/12/2021;5 485,49
06/12/2021;5 522,94
07/12/2021;5 670,60
08/12/2021;5 662,59
09/12/2021;5 644,65
10/12/2021;5 658,58
13/12/2021;5 630,69
14/12/2021;5 570,84
15/12/2021;5 656,11
16/12/2021;5 582,92
17/12/2021;5 558,82
20/12/2021;5 477,62
21/12/2021;5 589,56
22/12/2021;5 617,21
23/12/2021;5 663,50
27/12/2021;5 720,47
28/12/2021;5 725,97
29/12/2021;5 701,86
30/12/2021;5 705,12
31/12/2021;5 675,47
03/01/2022;5 727,25
04/01/2022;5 684,32
05/01/2022;5 555,61
06/01/2022;5 535,99
07/01/2022;5 479,18
10/01/2022;5 475,63
11/01/2022;5 514,81
12/01/2022;5 517,98
13/01/2022;5 407,74
14/01/2022;5 407,67
18/01/2022;5 352,43
19/01/2022;5 312,84
20/01/2022;5 285,77
21/01/2022;5 187,76
24/01/2022;5 181,05
25/01/2022;5 113,31
26/01/2022;5 109,63
27/01/2022;5 107,47
28/01/2022;5 203,11
31/01/2022;5 300,93
01/02/2022;5 322,92
